time,ps,pl,ard1,ard2,ard3,ard4,ard5
09173434,32.03,30.10,28.25,26.5,25.75,23.75,21.5
09173444,32.73,30.32,28.25,26.5,25.75,23.75,21.5
09173454,31.54,30.16,28.25,26.5,25.75,23.75,21.5
09173504,31.57,30.23,28.25,26.5,26.0,23.5,21.5
09173514,32.00,30.07,28.25,26.5,25.75,23.75,21.5
09173524,31.68,30.06,28.25,26.5,25.75,23.75,21.5
09173534,31.57,30.25,28.25,26.5,25.75,23.75,21.5
09173544,30.65,30.14,28.25,26.5,25.75,23.75,21.5
09173554,31.13,30.13,28.25,26.5,26.0,23.5,21.5
09173604,32.87,30.33,28.25,26.5,26.0,23.75,21.5
09173614,31.22,29.74,28.25,26.5,26.0,23.75,21.5
09173624,31.72,30.19,28.25,26.5,26.0,23.75,21.5
09173635,31.07,30.41,28.5,26.5,25.75,23.75,21.5
09173645,32.26,30.29,28.25,26.5,26.0,23.75,21.5
09173655,31.97,30.07,28.5,26.5,26.0,23.75,21.5
09173705,31.04,30.05,28.25,26.5,26.0,23.75,21.5
09173715,30.50,30.23,28.5,26.5,26.0,23.75,21.5
09173725,32.23,30.22,28.25,26.5,26.0,23.75,21.5
09173735,31.53,30.29,28.5,26.5,26.0,23.75,21.5
09173745,31.80,30.16,28.5,26.5,26.0,23.75,21.5
09173755,30.72,29.97,28.25,26.5,26.0,23.75,21.75
09173805,30.38,30.39,28.25,26.5,26.0,23.75,21.5
09173815,32.23,29.83,28.25,26.5,26.0,23.75,21.5
09173825,31.51,30.48,28.5,26.5,26.0,23.75,21.5
09173835,31.69,30.16,28.5,26.5,26.0,23.75,21.5
09173845,31.98,30.42,28.5,26.5,26.0,23.75,21.5
09173855,32.51,30.29,28.5,26.5,26.0,23.75,21.5
09173905,32.15,30.81,28.5,26.5,26.0,23.75,21.5
09173915,31.60,30.21,28.5,26.5,26.0,23.75,21.75
09173925,31.17,30.43,28.5,26.5,26.0,23.75,21.5
09173935,31.97,30.18,28.5,26.5,26.0,23.75,21.5
09173945,32.61,30.14,28.5,26.5,26.0,23.75,21.5
09173955,32.35,30.49,28.5,26.5,26.0,23.75,21.5
09174005,31.89,29.91,28.5,26.5,26.0,23.75,21.5
09174015,31.51,30.50,28.5,26.5,26.0,23.75,21.75
09174025,31.86,30.33,28.5,26.5,26.0,23.75,21.5
09174035,32.37,30.18,28.5,26.5,26.0,23.75,21.5
09174045,30.91,30.68,28.5,26.5,26.0,23.75,21.5
09174055,31.48,30.41,28.5,26.75,26.0,23.75,21.5
09174105,31.76,30.23,28.5,26.5,26.0,23.75,21.75
09174115,33.10,30.38,28.5,26.5,26.0,23.75,21.75
09174125,30.76,30.32,28.5,26.5,26.0,23.75,21.5
09174135,33.12,30.31,28.5,26.5,26.0,23.75,21.75
09174145,31.42,29.98,28.5,26.75,26.0,23.75,21.75
09174155,31.20,30.27,28.5,26.5,26.0,23.75,21.5
09174205,31.19,30.60,28.5,26.5,26.0,23.75,21.75
09174215,31.71,30.15,28.5,26.75,26.0,23.75,21.5
09174225,31.76,30.29,28.5,26.5,26.0,23.75,21.5
09174235,32.69,30.60,28.5,26.5,26.0,23.75,21.75
09174245,30.81,30.47,28.5,26.5,26.0,23.75,21.5
09174255,32.15,30.37,28.5,26.75,26.0,23.75,21.75
09174305,32.70,30.51,28.5,26.75,26.0,23.75,21.75
09174315,31.76,30.57,28.5,26.75,26.0,23.75,21.75
09174325,32.58,30.31,28.5,26.75,26.0,23.75,21.75
09174335,31.36,30.37,28.5,26.75,26.0,23.75,21.5
09174345,31.95,30.34,28.5,26.75,26.0,23.75,21.5
09174355,32.18,30.10,28.5,26.5,26.0,23.75,21.75
09174405,31.71,30.52,28.5,26.75,26.0,23.75,21.5
09174415,30.99,30.55,28.5,26.75,26.0,23.75,21.5
09174425,31.95,30.37,28.5,26.75,26.0,23.75,21.75
09174435,31.40,30.26,28.5,26.75,26.0,23.75,21.5
09174445,32.47,30.79,28.5,26.75,26.25,24.0,21.5
09174455,32.00,30.56,28.75,26.75,26.0,24.0,21.75
09174505,30.99,30.56,28.75,26.75,26.0,23.75,21.75
09174515,31.98,30.56,28.5,26.75,26.25,23.75,21.75
09174526,32.95,30.46,28.5,26.75,26.0,23.75,21.5
09174536,31.36,30.60,28.5,26.75,26.0,23.75,21.75
09174546,31.72,30.65,28.5,26.75,26.25,23.75,21.5
09174556,31.17,30.28,28.5,26.75,26.0,23.75,21.5
09174606,30.82,30.55,28.5,26.75,26.0,23.75,21.5
09174616,30.00,30.55,28.5,26.75,26.0,24.0,21.75
09174626,31.95,30.64,28.75,26.75,26.0,23.75,21.5
09174636,32.78,30.26,28.75,26.75,26.25,23.75,21.75
09174646,30.98,30.57,28.5,26.75,26.25,23.75,21.75
